tid,car_id,track_start,track_end,start_lat,start_lon,end_lat,end_lon
612945,278,2014-06-11 12:18:54,2014-06-11 12:46:47,50.9928894,13.65644455,51.02541733,13.75458336
252563,10,2014-06-11 12:19:02,2014-06-11 12:20:29,51.0585289,13.7808609,51.05880737,13.78852749
229729,31,2014-06-11 12:19:10,2014-06-11 12:24:55,51.11358261,13.7525835,51.12483215,13.76636124
556279,396,2014-06-11 12:19:19,2014-06-11 12:22:54,51.0735817,13.74058342,51.08405685,13.72855568
250271,273,2014-06-11 12:19:47,2014-06-11 12:29:04,51.04674911,13.74561119,51.04000092,13.73319435
402852,304,2014-06-11 12:20:12,2014-06-11 12:32:57,51.04394531,13.77194405,51.01441574,13.7994442
157802,187,2014-06-11 12:21:10,2014-06-11 12:54:16,51.05272293,13.72969437,51.04572296,13.72658348
392735,323,2014-06-11 12:22:39,2014-06-11 12:27:12,51.02758408,13.80063915,51.02125168,13.81436157
473358,226,2014-06-11 12:22:53,2014-06-11 12:27:57,51.02761078,13.80063915,51.01405716,13.78263855
297693,387,2014-06-11 12:23:41,2014-06-11 12:48:06,51.08705521,13.70383358,51.06063843,13.77713871
245999,81,2014-06-11 12:23:52,2014-06-11 12:28:32,51.08358383,13.72049999,51.09205627,13.73019409
581099,215,2014-06-11 12:24:00,2014-06-11 12:31:12,51.05041504,13.80880547,51.05708313,13.78077793
110111,185,2014-06-11 12:24:13,2014-06-11 12:40:39,51.02375031,13.75944424,50.99144363,13.87300014
33353,175,2014-06-11 12:25:00,2014-06-11 12:31:40,51.09319305,13.71844482,51.08827591,13.72641659
64163,122,2014-06-11 12:25:51,2014-06-11 12:43:20,51.06233215,13.74655533,51.03655624,13.71494484
619393,150,2014-06-11 12:26:14,2014-06-11 12:35:19,51.11914062,13.76572227,51.06555557,13.76536083
142298,93,2014-06-11 12:26:25,2014-06-11 12:46:13,51.04694366,13.76530552,51.00299835,13.8945837
218564,50,2014-06-11 12:27:26,2014-06-11 12:37:28,51.00489044,13.79883385,51.02574921,13.75505543
248345,12,2014-06-11 12:28:04,2014-06-11 12:39:03,51.05766678,13.70975018,51.01944351,13.70549965
405601,174,2014-06-11 12:29:00,2014-06-11 12:49:18,51.05752945,13.7195282,51.02577591,13.80449963
91005,330,2014-06-11 12:29:07,2014-06-11 12:43:11,51.06105423,13.71452808,51.0312233,13.65672207
152881,205,2014-06-11 12:30:36,2014-06-11 12:46:11,51.05719376,13.78102779,51.00730515,13.79377747
111369,379,2014-06-11 12:30:38,2014-06-11 12:32:49,51.07733154,13.60116673,51.06491852,13.59249973
229730,31,2014-06-11 12:34:20,2014-06-11 12:51:04,51.09925079,13.73455524,51.03497314,13.70169449
368832,190,2014-06-11 12:35:03,2014-06-11 12:55:45,51.05019379,13.7381115,51.06263733,13.74699974
664395,240,2014-06-11 12:35:46,2014-06-11 12:40:21,51.04855728,13.68102741,51.04005432,13.66950035
210850,66,2014-06-11 12:38:56,2014-06-11 12:48:24,51.04069519,13.69274998,51.04936218,13.73349953
346978,177,2014-06-11 12:39:30,2014-06-11 12:50:49,51.02933502,13.79191685,51.05233383,13.74183369
210194,142,2014-06-11 12:40:24,2014-06-11 12:44:33,51.04897308,13.77394485,51.04669571,13.76002789
103814,26,2014-06-11 12:40:40,2014-06-11 12:49:02,51.02738953,13.78938866,51.00630569,13.82616711
146186,307,2014-06-11 12:40:55,2014-06-11 12:45:34,51.05483246,13.73927784,51.07419586,13.73886108
195442,241,2014-06-11 12:41:04,2014-06-11 12:50:30,51.03694534,13.77836132,51.05899811,13.78094482
82598,101,2014-06-11 12:41:45,2014-06-11 12:45:58,51.02144623,13.80347252,51.01208496,13.82233334
539908,254,2014-06-11 12:42:22,2014-06-11 12:58:43,51.06661224,13.78802776,51.05383301,13.73822212
175970,135,2014-06-11 12:42:32,2014-06-11 12:46:39,51.0613327,13.73900032,51.05213928,13.73255539
100350,213,2014-06-11 12:42:53,2014-06-11 12:57:51,51.05438995,13.7379446,51.1245842,13.76616669
33354,175,2014-06-11 12:44:19,2014-06-11 13:03:46,51.08069611,13.73133373,51.10660934,13.77588844
488819,45,2014-06-11 12:44:52,2014-06-11 12:48:32,51.12702942,13.72186089,51.12675095,13.74280548
250272,273,2014-06-11 12:45:20,2014-06-11 12:50:35,51.06538773,13.74144459,51.06755447,13.75841713
280830,167,2014-06-11 12:45:21,2014-06-11 12:48:48,51.04372406,13.7943058,51.04930496,13.805583
404331,15,2014-06-11 12:46:42,2014-06-11 13:03:38,51.04913712,13.68866634,51.05441666,13.78125
593705,37,2014-06-11 12:46:51,2014-06-11 13:17:11,50.98433304,13.80155563,51.05005646,13.71291637
95818,82,2014-06-11 12:48:17,2014-06-11 12:59:52,51.06233215,13.76072216,51.08108521,13.7219162
310817,104,2014-06-11 12:49:03,2014-06-11 13:02:16,51.0533905,13.78155518,51.00819397,13.82288933
318451,102,2014-06-11 12:50:00,2014-06-11 13:21:09,51.03844452,13.73758316,51.03950119,13.74830532
552802,388,2014-06-11 12:50:48,2014-06-11 13:07:42,51.01786041,13.83136082,51.05274963,13.80019474
584361,35,2014-06-11 12:53:04,2014-06-11 13:07:25,51.05544281,13.78116703,51.03111267,13.81086159
27794,209,2014-06-11 12:53:44,2014-06-11 13:00:31,51.03900146,13.73336124,51.03749847,13.73894405
27795,209,2014-06-11 12:54:03,2014-06-11 13:09:33,51.03019333,13.73461151,51.02852631,13.70688915
