tid,car_id,track_start,track_end,start_lat,start_lon,end_lat,end_lon
111777,292,2014-06-11 22:21:57,2014-06-11 22:28:20,51.04438782,13.73875046,51.01458359,13.72430515
634517,232,2014-06-11 22:22:38,2014-06-11 22:25:37,51.05022049,13.73719406,51.04755402,13.74994469
227088,239,2014-06-11 22:22:54,2014-06-11 22:36:30,51.12149811,13.76483345,51.11644363,13.78097248
382830,54,2014-06-11 22:22:58,2014-06-11 22:30:57,51.05136108,13.74458313,51.08341599,13.72694397
173064,194,2014-06-11 22:23:19,2014-06-11 22:30:06,51.05058289,13.69486141,51.04322052,13.67305565
211656,224,2014-06-11 22:24:45,2014-06-11 22:35:13,51.05752945,13.78091621,51.03763962,13.79163933
607667,164,2014-06-11 22:27:20,2014-06-11 22:37:53,51.05769348,13.81319427,51.05208206,13.74355507
359936,380,2014-06-11 22:28:02,2014-06-11 22:36:51,51.0403595,13.73363876,51.01866531,13.70050049
609468,78,2014-06-11 22:28:12,2014-06-11 22:33:09,51.04911041,13.72894478,51.04716492,13.7577219
255657,324,2014-06-11 22:29:44,2014-06-11 22:42:50,51.04691696,13.73425007,50.98722076,13.79599953
357645,247,2014-06-11 22:30:19,2014-06-11 22:41:51,51.05183411,13.73402786,51.02783203,13.76083374
261659,18,2014-06-11 22:34:16,2014-06-11 22:45:13,51.00086212,13.83924961,51.00416565,13.79524994
614577,289,2014-06-11 22:34:54,2014-06-11 22:39:13,51.06238937,13.74536133,51.04674911,13.73358345
15380,8,2014-06-11 22:35:31,2014-06-11 22:44:05,51.05238724,13.7422781,51.02724838,13.73105526
151074,335,2014-06-11 22:36:01,2014-06-11 22:46:46,51.0636673,13.7996664,51.05725098,13.73166656
39373,28,2014-06-11 22:36:25,2014-06-11 22:47:35,51.05911255,13.71049976,51.09758377,13.73183346
584372,35,2014-06-11 22:39:35,2014-06-11 22:44:54,51.05166626,13.74508286,51.03669357,13.71544456
192227,178,2014-06-11 22:40:10,2014-06-11 22:45:45,51.05211258,13.8067503,51.05236053,13.82938862
435562,277,2014-06-11 22:40:29,2014-06-11 22:42:51,51.05561066,13.73983383,51.0617218,13.73805523
542199,3,2014-06-11 22:41:14,2014-06-11 23:03:16,51.05152893,13.74497223,51.10988998,13.74897194
218568,50,2014-06-11 22:42:06,2014-06-11 22:52:51,51.05308151,13.77977753,51.03266525,13.72599983
664396,240,2014-06-11 22:42:31,2014-06-11 22:59:32,51.05194473,13.80700016,51.00227737,13.89413929
292416,394,2014-06-11 22:42:37,2014-06-11 22:46:33,51.07624817,13.71977806,51.09469604,13.72677803
27800,209,2014-06-11 22:43:13,2014-06-11 22:57:02,51.04727936,13.73727798,51.01924896,13.67752743
503070,327,2014-06-11 22:43:40,2014-06-11 22:44:42,51.04286194,13.69163895,51.04249954,13.68463898
546934,61,2014-06-11 22:44:15,2014-06-11 23:17:51,51.06180573,13.73758316,51.01452637,13.78369427
544198,201,2014-06-11 22:44:56,2014-06-11 22:51:35,51.04700089,13.74277782,51.02866745,13.7126112
435563,277,2014-06-11 22:45:23,2014-06-11 23:11:06,51.05714035,13.74091625,51.02783203,13.76013851
342241,41,2014-06-11 22:45:44,2014-06-11 22:58:35,51.04672241,13.75544453,51.09674835,13.71683311
118669,373,2014-06-11 22:47:40,2014-06-11 22:53:24,51.06544495,13.74136162,51.08255386,13.74830532
409834,77,2014-06-11 22:48:30,2014-06-11 22:50:34,51.05186081,13.73438931,51.05719376,13.72791672
111778,292,2014-06-11 22:48:33,2014-06-11 22:52:02,51.0059166,13.82766628,51.01211166,13.81438923
609469,78,2014-06-11 22:50:13,2014-06-11 22:55:36,51.04702759,13.73858356,51.02897263,13.75880527
161460,156,2014-06-11 22:51:39,2014-06-11 23:00:11,51.0383606,13.73294449,51.04872131,13.74011135
4346,129,2014-06-11 22:51:43,2014-06-11 22:56:46,51.06666565,13.74430561,51.0700264,13.76641655
128273,27,2014-06-11 22:52:56,2014-06-11 23:06:57,51.03989029,13.7308054,51.05125046,13.69044495
292417,394,2014-06-11 22:54:43,2014-06-11 23:02:08,51.07324982,13.74161148,51.08460999,13.71333313
265392,59,2014-06-11 22:56:06,2014-06-11 22:58:36,51.09394455,13.69744492,51.08433151,13.70738888
297698,387,2014-06-11 22:58:16,2014-06-11 23:23:53,51.04380417,13.73805523,51.03266525,13.79477787
267814,139,2014-06-11 22:59:46,2014-06-11 23:04:12,51.06835938,13.74561119,51.07955551,13.71466637
64172,122,2014-06-11 23:00:05,2014-06-11 23:02:22,51.08772278,13.73788929,51.10766602,13.73419476
433849,222,2014-06-11 23:00:07,2014-06-11 23:12:20,51.05266571,13.80530548,51.0625267,13.73919487
634518,232,2014-06-11 23:00:16,2014-06-11 23:08:41,51.05333328,13.796278,51.06897354,13.75561142
639702,113,2014-06-11 23:00:39,2014-06-11 23:14:13,51.04044342,13.73380566,51.03477859,13.8085556
173065,194,2014-06-11 23:01:22,2014-06-11 23:11:42,51.04147339,13.68938923,51.08141708,13.72030544
76985,214,2014-06-11 23:01:29,2014-06-11 23:10:35,51.03880692,13.73319435,51.0391655,13.78552818
31403,110,2014-06-11 23:02:24,2014-06-11 23:08:10,51.05169296,13.80194473,51.06147385,13.75230598
25371,179,2014-06-11 23:03:34,2014-06-11 23:14:30,51.03822327,13.73527813,51.01233292,13.82405567
346984,177,2014-06-11 23:03:43,2014-06-11 23:08:57,51.04177856,13.73602772,51.05108261,13.73174953
