tid,car_id,track_start,track_end,start_lat,start_lon,end_lat,end_lon
609466,78,2014-06-11 21:30:10,2014-06-11 21:37:20,51.03847122,13.73474979,51.03097153,13.76752758
584370,35,2014-06-11 21:30:13,2014-06-11 21:36:35,51.04024887,13.73419476,51.03811264,13.7017498
576806,108,2014-06-11 21:33:04,2014-06-11 22:21:09,51.04883194,13.73980522,51.02369308,13.70738888
501912,105,2014-06-11 21:33:37,2014-06-11 21:42:44,51.06008148,13.71749973,51.06774902,13.74758339
352075,171,2014-06-11 21:36:10,2014-06-11 21:46:06,50.9992485,13.79913902,50.99894333,13.81847191
215982,284,2014-06-11 21:36:47,2014-06-11 21:48:31,51.04133224,13.74561119,50.99047089,13.80602741
471214,372,2014-06-11 21:36:50,2014-06-11 21:41:00,51.06741714,13.75011063,51.07316589,13.74174976
119866,349,2014-06-11 21:37:08,2014-06-11 21:43:30,51.05144501,13.74480534,51.06735992,13.75030518
15379,8,2014-06-11 21:39:36,2014-06-11 21:49:44,51.04700089,13.72627735,51.0569458,13.76933289
64170,122,2014-06-11 21:42:04,2014-06-11 21:59:31,51.08427811,13.72855568,51.0656662,13.74169445
688657,202,2014-06-11 21:43:04,2014-06-11 21:46:58,51.07147217,13.75024986,51.0712204,13.77124977
151072,335,2014-06-11 21:43:25,2014-06-11 21:48:31,51.0351944,13.78291702,51.02147293,13.80391693
173063,194,2014-06-11 21:44:34,2014-06-11 21:46:17,51.04166794,13.70658302,51.03872299,13.71802807
114716,218,2014-06-11 21:45:02,2014-06-11 21:47:15,51.10219574,13.71272182,51.11147308,13.70155525
140299,149,2014-06-11 21:45:04,2014-06-11 22:21:54,51.04986191,13.72277737,51.05163956,13.74197197
286818,64,2014-06-11 21:47:12,2014-06-11 21:56:45,51.06619263,13.74555588,51.04724884,13.78658295
4345,129,2014-06-11 21:49:29,2014-06-11 21:57:28,51.05372238,13.74024963,51.08491516,13.73936081
584371,35,2014-06-11 21:52:15,2014-06-11 21:57:48,51.0537796,13.73711109,51.05075073,13.75924969
440734,92,2014-06-11 21:52:49,2014-06-11 22:00:00,51.04033279,13.73413849,51.06180573,13.73822212
111776,292,2014-06-11 21:54:06,2014-06-11 22:01:09,51.04747391,13.74991703,51.05541611,13.71513844
265391,59,2014-06-11 21:54:20,2014-06-11 21:58:24,51.08108521,13.73288918,51.09799957,13.73161125
433847,222,2014-06-11 21:57:22,2014-06-11 22:00:15,51.05385971,13.7383337,51.06519318,13.74094486
503069,327,2014-06-11 22:00:01,2014-06-11 22:04:58,51.03738785,13.73247242,51.02480698,13.70855522
435560,277,2014-06-11 22:00:25,2014-06-11 22:10:29,51.05430603,13.73052788,51.05714035,13.76219463
192226,178,2014-06-11 22:00:28,2014-06-11 22:07:21,50.98877716,13.80255508,51.02522278,13.75647259
678237,231,2014-06-11 22:01:17,2014-06-11 22:33:41,51.05177689,13.76330566,51.04672241,13.6546669
342240,41,2014-06-11 22:01:19,2014-06-11 22:13:45,51.05705643,13.72574997,51.04952621,13.74236107
609467,78,2014-06-11 22:02:46,2014-06-11 22:11:03,51.00727844,13.68958378,51.05055618,13.7323885
611943,306,2014-06-11 22:03:05,2014-06-11 22:07:44,51.04133224,13.73255539,51.04747391,13.74994469
382829,54,2014-06-11 22:05:15,2014-06-11 22:16:36,51.05413818,13.73719406,51.05088806,13.7411108
119867,349,2014-06-11 22:05:41,2014-06-11 22:07:05,51.05236053,13.73233318,51.05719376,13.72572231
151073,335,2014-06-11 22:06:35,2014-06-11 22:14:00,51.03630447,13.77922249,51.02191544,13.83136082
546933,61,2014-06-11 22:08:42,2014-06-11 22:13:03,51.08080673,13.71297264,51.0712204,13.69908333
64171,122,2014-06-11 22:10:05,2014-06-11 22:16:44,51.08155441,13.72272205,51.06972122,13.74905586
444146,44,2014-06-11 22:10:47,2014-06-11 22:21:31,51.08408356,13.69200039,51.04702759,13.69272232
433848,222,2014-06-11 22:11:09,2014-06-11 22:24:10,51.05389023,13.73808289,51.05230713,13.80574989
357644,247,2014-06-11 22:12:46,2014-06-11 22:14:58,51.05385971,13.7383337,51.06083298,13.74050045
215983,284,2014-06-11 22:12:50,2014-06-11 22:24:09,51.04372406,13.73791695,51.03505707,13.74411106
142306,93,2014-06-11 22:13:51,2014-06-11 22:21:24,51.05394363,13.77780533,51.05116653,13.74119473
544197,201,2014-06-11 22:14:47,2014-06-11 22:28:41,51.04047394,13.74330521,51.05266571,13.78913879
688658,202,2014-06-11 22:15:54,2014-06-11 22:18:45,51.0533905,13.73594475,51.05241776,13.72911072
255656,324,2014-06-11 22:16:30,2014-06-11 22:21:08,51.05183411,13.73413849,51.04469299,13.73361111
72235,268,2014-06-11 22:16:46,2014-06-11 22:25:06,51.06391525,13.82097244,51.06161118,13.74258327
506266,21,2014-06-11 22:16:57,2014-06-11 22:19:34,51.05402756,13.73872185,51.06416702,13.74041653
409833,77,2014-06-11 22:18:52,2014-06-11 22:31:52,51.05219269,13.73483372,51.00841522,13.76824951
27799,209,2014-06-11 22:19:26,2014-06-11 22:31:17,51.05452728,13.73027802,51.03138733,13.76441669
313481,163,2014-06-11 22:20:24,2014-06-11 23:05:15,51.07916641,13.75833321,51.09313965,13.73230553
435561,277,2014-06-11 22:20:40,2014-06-11 22:31:28,51.05385971,13.75869465,51.06558228,13.73427773
257990,42,2014-06-11 22:21:38,2014-06-11 22:37:31,51.12297058,13.7640276,51.11605453,13.75091648
