tid,car_id,track_start,track_end,start_lat,start_lon,end_lat,end_lon
612947,278,2014-06-11 14:09:22,2014-06-11 14:30:55,51.02960968,13.74244404,51.04669571,13.81152821
530887,367,2014-06-11 14:09:43,2014-06-11 14:28:21,51.12308502,13.76397228,51.05652618,13.73186111
64166,122,2014-06-11 14:10:06,2014-06-11 14:22:26,51.0636673,13.75930595,51.06294632,13.75080585
25361,179,2014-06-11 14:11:54,2014-06-11 14:27:40,51.00999832,13.83094406,51.05480576,13.78744411
491760,199,2014-06-11 14:12:13,2014-06-11 14:26:44,51.06005478,13.77722263,51.1246109,13.76613903
4336,129,2014-06-11 14:14:18,2014-06-11 14:18:52,51.04949951,13.72924995,51.03477859,13.70927811
473359,226,2014-06-11 14:17:08,2014-06-11 14:23:54,51.05427933,13.78097248,51.06163788,13.74975014
356219,337,2014-06-11 14:18:17,2014-06-11 14:25:29,51.04677963,13.76530552,51.04685974,13.76536083
399832,83,2014-06-11 14:18:32,2014-06-11 15:02:37,51.05247116,13.74066639,51.04886246,13.74538898
132923,286,2014-06-11 14:20:09,2014-06-11 14:58:40,51.02666855,13.75633335,51.01885986,13.71883297
39367,28,2014-06-11 14:22:14,2014-06-11 14:47:20,51.08127594,13.72574997,51.11125183,13.69999981
372742,16,2014-06-11 14:24:44,2014-06-11 14:43:11,51.0008049,13.8020277,51.05385971,13.78722191
140289,149,2014-06-11 14:25:46,2014-06-11 14:34:53,51.01827621,13.71822262,51.04555511,13.72900009
409825,77,2014-06-11 14:26:59,2014-06-11 14:40:06,51.05358505,13.78758335,51.00216675,13.79933357
62106,95,2014-06-11 14:27:17,2014-06-11 14:57:29,51.02827835,13.81144428,51.05952835,13.717556
248346,12,2014-06-11 14:28:20,2014-06-11 14:41:01,51.05397034,13.80011082,51.0593605,13.72049999
449687,332,2014-06-11 14:28:58,2014-06-11 14:41:42,51.04166794,13.73572254,51.05169296,13.73413849
352073,171,2014-06-11 14:30:28,2014-06-11 14:33:16,51.03944397,13.73111153,51.04641724,13.73169422
584362,35,2014-06-11 14:30:33,2014-06-11 14:51:51,51.06263733,13.82158375,51.04375076,13.73802757
296055,248,2014-06-11 14:31:16,2014-06-11 14:47:46,51.05680466,13.72175026,51.09119415,13.71069431
388567,103,2014-06-11 14:31:33,2014-06-11 15:03:38,51.09463882,13.70800018,51.04611206,13.73355579
95819,82,2014-06-11 14:32:01,2014-06-11 14:42:33,51.08105469,13.72177792,51.0632782,13.74944496
593706,37,2014-06-11 14:33:46,2014-06-11 14:42:41,51.0399437,13.73411083,51.0609436,13.74094486
551089,169,2014-06-11 14:34:11,2014-06-11 14:41:29,51.00666809,13.79372215,51.03125,13.78563881
82600,101,2014-06-11 14:35:28,2014-06-11 14:42:53,51.04941559,13.73708344,51.0518074,13.76161098
542198,3,2014-06-11 14:36:01,2014-06-11 14:50:01,51.08050156,13.72011089,51.12472153,13.76619434
681411,212,2014-06-11 14:36:13,2014-06-11 14:53:58,51.05302811,13.7792778,51.03872299,13.73419476
619395,150,2014-06-11 14:36:50,2014-06-11 14:46:27,51.0632782,13.75013924,51.04249954,13.73633385
368834,190,2014-06-11 14:37:43,2014-06-11 15:07:51,51.03755569,13.79186153,51.0597229,13.66055584
252565,10,2014-06-11 14:39:44,2014-06-11 14:45:33,51.06458282,13.76416683,51.05566788,13.76544476
229734,31,2014-06-11 14:40:15,2014-06-11 14:51:40,51.08127594,13.71100044,51.12469482,13.76613903
442364,348,2014-06-11 14:42:00,2014-06-11 14:53:37,51.04027939,13.73402786,51.05188751,13.74522209
673330,300,2014-06-11 14:42:01,2014-06-11 14:46:05,51.02958298,13.81786156,51.02427673,13.80733299
157804,187,2014-06-11 14:42:34,2014-06-11 14:50:20,51.05041504,13.73758316,51.05060959,13.73622227
64167,122,2014-06-11 14:42:52,2014-06-11 14:49:12,51.06349945,13.74458313,51.07430649,13.74530602
202123,352,2014-06-11 14:43:50,2014-06-11 14:53:24,51.00208282,13.79761124,51.03450012,13.78033352
428782,53,2014-06-11 14:44:03,2014-06-11 15:11:50,51.0652504,13.83430576,51.00650024,13.8395834
483122,22,2014-06-11 14:45:08,2014-06-11 15:02:42,51.03869629,13.73352814,51.01019287,13.81316662
142300,93,2014-06-11 14:45:33,2014-06-11 14:48:33,51.04680634,13.76319408,51.04630661,13.76197243
478292,49,2014-06-11 14:45:39,2014-06-11 15:08:31,51.04441833,13.73411083,51.12466812,13.76616669
421152,200,2014-06-11 14:45:40,2014-06-11 14:53:39,51.06219482,13.74463844,51.04577637,13.75450039
259275,90,2014-06-11 14:45:48,2014-06-11 14:56:59,51.03874969,13.73297215,51.05222321,13.73763847
409826,77,2014-06-11 14:46:02,2014-06-11 15:13:48,51.00683212,13.80133343,51.12285995,13.76777744
118667,373,2014-06-11 14:46:15,2014-06-11 14:57:12,51.05233383,13.72788906,51.04647064,13.75300026
488821,45,2014-06-11 14:47:12,2014-06-11 14:57:31,51.0288887,13.78563881,51.03894424,13.73361111
349864,346,2014-06-11 14:47:36,2014-06-11 15:02:40,51.05186081,13.73736095,51.03977966,13.73311138
392738,323,2014-06-11 14:48:42,2014-06-11 15:09:56,51.04988861,13.74066639,51.01761246,13.77925014
146188,307,2014-06-11 14:49:22,2014-06-11 15:05:33,51.06694412,13.74461079,51.12149811,13.77722263
248347,12,2014-06-11 14:50:25,2014-06-11 15:03:13,51.06866837,13.71697235,51.03939056,13.73216629
