tid,car_id,track_start,track_end,start_lat,start_lon,end_lat,end_lon
4339,129,2014-06-11 17:54:22,2014-06-11 18:02:07,51.04241562,13.7306385,51.01944351,13.72522259
76981,214,2014-06-11 17:54:58,2014-06-11 18:01:29,51.05647278,13.72516632,51.03858185,13.73466682
480757,13,2014-06-11 17:56:05,2014-06-11 18:16:28,51.04650116,13.74183369,51.05211258,13.74355507
132928,286,2014-06-11 17:56:42,2014-06-11 18:02:15,51.02783203,13.75369453,51.04455566,13.73086071
39371,28,2014-06-11 17:57:43,2014-06-11 18:05:25,51.07847214,13.75755596,51.05391693,13.73819447
292411,394,2014-06-11 17:59:30,2014-06-11 18:09:05,51.1262207,13.72122192,51.07530594,13.73902798
140294,149,2014-06-11 18:01:30,2014-06-11 18:20:21,51.06483459,13.74947262,51.04744339,13.73758316
75173,310,2014-06-11 18:04:24,2014-06-11 18:17:28,51.03830719,13.73600006,51.03177643,13.77575016
668717,38,2014-06-11 18:05:04,2014-06-11 18:17:49,51.04085922,13.73513889,51.04975128,13.77483368
489567,225,2014-06-11 18:05:45,2014-06-11 18:15:14,51.05263901,13.72708321,51.04016495,13.71891689
612950,278,2014-06-11 18:05:46,2014-06-11 18:12:08,51.06674957,13.78591633,51.05550003,13.78708363
685933,216,2014-06-11 18:07:54,2014-06-11 18:13:32,51.12411118,13.7654171,51.11738968,13.78588867
50414,384,2014-06-11 18:08:19,2014-06-11 18:11:52,51.03947067,13.73036098,51.03377914,13.71288872
142303,93,2014-06-11 18:09:49,2014-06-11 18:19:15,51.05416489,13.78125,51.04897308,13.82077789
421153,200,2014-06-11 18:09:52,2014-06-11 18:16:23,51.0692482,13.75138855,51.08597183,13.72652817
329395,2,2014-06-11 18:11:37,2014-06-11 18:23:26,51.07277679,13.75177765,51.05666733,13.73197174
491764,199,2014-06-11 18:11:38,2014-06-11 18:21:36,51.05741501,13.70952797,51.02097321,13.71297264
278653,271,2014-06-11 18:12:38,2014-06-11 18:30:38,51.02461243,13.75333309,51.01408386,13.6353054
623647,100,2014-06-11 18:12:50,2014-06-11 18:21:01,51.05227661,13.73513889,51.05858231,13.7389164
25365,179,2014-06-11 18:16:45,2014-06-11 18:31:02,51.12213898,13.76416683,51.06030655,13.75105572
72231,268,2014-06-11 18:18:12,2014-06-11 18:21:21,51.04949951,13.66855526,51.04236221,13.68111134
140295,149,2014-06-11 18:18:43,2014-06-11 18:47:02,51.04430389,13.75936127,51.05010986,13.78375053
544194,201,2014-06-11 18:18:55,2014-06-11 18:33:55,51.02461243,13.75330544,51.04894257,13.69702816
609463,78,2014-06-11 18:20:22,2014-06-11 19:15:17,51.04219437,13.7310276,51.05649948,13.68663883
498515,365,2014-06-11 18:20:31,2014-06-11 18:25:14,51.02991486,13.72108364,51.03660965,13.7203331
292412,394,2014-06-11 18:20:42,2014-06-11 18:25:07,51.07719421,13.7539444,51.06861115,13.77772236
684010,328,2014-06-11 18:21:32,2014-06-11 18:23:17,51.04872131,13.80483341,51.05177689,13.80858326
255653,324,2014-06-11 18:22:32,2014-06-11 18:31:19,51.05138779,13.74488926,51.07110977,13.76136112
248351,12,2014-06-11 18:24:04,2014-06-11 18:34:56,51.00416565,13.7982502,51.02813721,13.827528
64169,122,2014-06-11 18:24:59,2014-06-11 18:34:39,51.05222321,13.74216652,51.06838989,13.75291634
498516,365,2014-06-11 18:27:27,2014-06-11 18:37:50,51.0368042,13.7203331,51.04369354,13.67472267
146191,307,2014-06-11 18:31:01,2014-06-11 18:48:35,51.04077911,13.73494434,51.12486267,13.76783371
404333,15,2014-06-11 18:31:22,2014-06-11 18:45:24,51.04816818,13.6922226,51.09080505,13.69069481
100354,213,2014-06-11 18:31:33,2014-06-11 18:53:11,51.1278038,13.78236103,51.07477951,13.7361393
613803,345,2014-06-11 18:31:37,2014-06-11 18:38:29,51.04208374,13.72155571,51.03969574,13.73127747
15377,8,2014-06-11 18:32:29,2014-06-11 18:44:31,51.04741669,13.78327751,51.03755569,13.83044434
357640,247,2014-06-11 18:33:48,2014-06-11 18:45:40,51.0652504,13.75319481,51.05363846,13.74066639
685934,216,2014-06-11 18:35:59,2014-06-11 18:44:37,51.12411118,13.7654171,51.07764053,13.73933315
8073,251,2014-06-11 18:38:06,2014-06-11 18:56:40,51.06538773,13.7411108,51.04622269,13.81152821
409829,77,2014-06-11 18:42:36,2014-06-11 18:53:12,51.06747055,13.7545557,51.08891678,13.73066711
211652,224,2014-06-11 18:43:48,2014-06-11 18:50:33,51.04377747,13.72641659,51.04602814,13.75475025
623648,100,2014-06-11 18:43:56,2014-06-11 18:50:33,51.06549835,13.74136162,51.07741547,13.72344398
81116,127,2014-06-11 18:45:14,2014-06-11 19:20:49,51.0537796,13.73708344,51.05833435,13.81855583
688654,202,2014-06-11 18:45:31,2014-06-11 18:53:44,51.02916718,13.73797226,51.04674911,13.70816708
641245,172,2014-06-11 18:45:41,2014-06-11 19:12:27,51.05014038,13.7294445,51.07424927,13.73872185
313478,163,2014-06-11 18:47:26,2014-06-11 18:57:10,51.12725067,13.72197247,51.07572174,13.73897266
309160,74,2014-06-11 18:48:52,2014-06-11 18:57:47,51.05233383,13.79236126,51.05486298,13.73691654
25366,179,2014-06-11 18:50:08,2014-06-11 19:00:51,51.06824875,13.76111126,51.06674957,13.75294495
